time,raw_bytes,CHECKSUM,CHECKSUM_recalculated,CHECKSUM_ok,all_checksums_ok,ANGLE,RATE,RATE_SIGN,COUNTER,RATE_ALT
0.0,00 4D 01 07 78 01 30,7,6,False,False,7.7,1,0,8,1
0.02,00 4D 00 87 CA 00 30,12,14,False,False,7.7,0,1,10,0
0.03,00 4D 01 87 CB 01 30,12,11,False,False,7.7,1,1,11,1
0.04,00 4D 00 87 AC 00 30,10,12,False,False,7.7,0,1,12,0
0.06,00 4D 00 07 0E 00 30,0,2,False,False,7.7,0,0,14,0
0.08,00 4D 00 87 60 00 30,6,8,False,False,7.7,0,1,0,0
0.1,00 4D 00 07 C2 00 30,12,14,False,False,7.7,0,0,2,0
0.12,00 4D 00 87 24 00 30,2,4,False,False,7.7,0,1,4,0
0.14,00 4D 00 87 06 00 30,0,2,False,False,7.7,0,1,6,0
0.16,00 4D 00 87 E8 00 30,14,0,False,False,7.7,0,1,8,0
0.18,00 4D 00 87 CA 00 30,12,14,False,False,7.7,0,1,10,0
0.19,00 4D 01 87 CB 01 30,12,11,False,False,7.7,1,1,11,1
0.21,00 4B 02 87 FD 02 30,15,9,False,False,7.5,2,1,13,2
0.22,00 4A 02 87 DE 02 30,13,9,False,False,7.4,2,1,14,2
0.23,00 4A 02 87 CF 02 30,12,8,False,False,7.4,2,1,15,2
0.24,00 49 02 87 00 02 30,0,8,False,False,7.300000000000001,2,1,0,2
0.25,00 48 02 87 01 02 30,0,8,False,False,7.2,2,1,1,2
0.26,00 47 03 87 D2 03 30,13,6,False,False,7.1000000000000005,3,1,2,3
0.27,00 46 03 87 D3 03 30,13,6,False,False,7.0,3,1,3,3
0.28,00 44 03 87 84 03 30,8,7,False,False,6.800000000000001,3,1,4,3
0.29,00 43 02 87 F5 02 30,15,9,False,False,6.7,2,1,5,2
0.3,00 43 02 87 C6 02 30,12,8,False,False,6.7,2,1,6,2
0.31,00 42 03 87 D7 03 30,13,6,False,False,6.6000000000000005,3,1,7,3
0.32,00 40 03 87 08 03 30,0,7,False,False,6.4,3,1,8,3
0.33,00 3F 03 87 99 03 30,9,8,False,False,6.300000000000001,3,1,9,3
0.34,00 3E 03 87 BA 03 30,11,8,False,False,6.2,3,1,10,3
0.35,00 3D 02 87 8B 02 30,8,10,False,False,6.1000000000000005,2,1,11,2
0.36,00 3C 02 87 EC 02 30,14,10,False,False,6.0,2,1,12,2
0.37,00 3B 03 87 9D 03 30,9,8,False,False,5.9,3,1,13,3
0.38,00 3A 03 87 BE 03 30,11,8,False,False,5.800000000000001,3,1,14,3
0.39,00 39 03 87 9F 03 30,9,8,False,False,5.7,3,1,15,3
0.4,00 38 03 87 70 03 30,7,8,False,False,5.6000000000000005,3,1,0,3
0.41,00 37 03 87 91 03 30,9,8,False,False,5.5,3,1,1,3
0.43,00 35 03 87 93 03 30,9,8,False,False,5.300000000000001,3,1,3,3
0.44,00 34 03 87 F4 03 30,15,8,False,False,5.2,3,1,4,3
0.45,00 33 02 87 85 02 30,8,10,False,False,5.1000000000000005,2,1,5,2
0.47,00 31 01 87 B7 01 30,11,12,False,False,4.9,1,1,7,1
0.48,00 31 01 87 48 01 30,4,11,False,False,4.9,1,1,8,1
0.49,00 31 01 87 59 01 30,5,10,False,False,4.9,1,1,9,1
0.5,00 30 01 87 7A 01 30,7,10,False,False,4.800000000000001,1,1,10,1
0.51,00 30 00 07 FB 00 30,15,3,False,False,4.800000000000001,0,0,11,0
0.52,00 30 00 87 0C 00 30,0,10,False,False,4.800000000000001,0,1,12,0
0.53,00 30 00 07 9D 00 30,9,1,False,False,4.800000000000001,0,0,13,0
0.54,00 30 01 87 3E 01 30,3,6,False,False,4.800000000000001,1,1,14,1
0.55,00 30 01 87 2F 01 30,2,5,False,False,4.800000000000001,1,1,15,1
0.56,00 30 00 87 C0 00 30,12,6,False,False,4.800000000000001,0,1,0,0
0.57,00 30 00 07 51 00 30,5,13,False,False,4.800000000000001,0,0,1,0
0.58,00 30 00 87 E2 00 30,14,4,False,False,4.800000000000001,0,1,2,0
0.591,00 30 00 87 F3 00 30,15,3,False,False,4.800000000000001,0,1,3,0
0.6,00 30 00 87 84 00 30,8,2,False,False,4.800000000000001,0,1,4,0
0.61,00 30 00 87 95 00 30,9,1,False,False,4.800000000000001,0,1,5,0
0.62,00 30 00 87 A6 00 30,10,0,False,False,4.800000000000001,0,1,6,0
0.63,00 30 00 87 B7 00 30,11,15,False,False,4.800000000000001,0,1,7,0
0.64,00 30 00 87 48 00 30,4,14,False,False,4.800000000000001,0,1,8,0
0.651,00 30 00 87 59 00 30,5,13,False,False,4.800000000000001,0,1,9,0
0.66,00 30 00 07 EA 00 30,14,4,False,False,4.800000000000001,0,0,10,0
0.67,00 30 00 07 FB 00 30,15,3,False,False,4.800000000000001,0,0,11,0
0.68,00 30 01 87 1C 01 30,1,8,False,False,4.800000000000001,1,1,12,1
0.69,00 30 00 87 1D 00 30,1,9,False,False,4.800000000000001,0,1,13,0
0.7,00 30 00 87 2E 00 30,2,8,False,False,4.800000000000001,0,1,14,0
0.71,00 30 00 87 3F 00 30,3,7,False,False,4.800000000000001,0,1,15,0
0.72,00 30 00 07 40 00 30,4,14,False,False,4.800000000000001,0,0,0,0
0.73,00 30 00 07 51 00 30,5,13,False,False,4.800000000000001,0,0,1,0
0.74,00 30 00 07 62 00 30,6,12,False,False,4.800000000000001,0,0,2,0
0.75,00 30 00 87 F3 00 30,15,3,False,False,4.800000000000001,0,1,3,0
0.76,00 30 00 07 04 00 30,0,10,False,False,4.800000000000001,0,0,4,0
0.77,00 30 00 07 15 00 30,1,9,False,False,4.800000000000001,0,0,5,0
0.78,00 30 00 87 A6 00 30,10,0,False,False,4.800000000000001,0,1,6,0
0.79,00 30 00 87 B7 00 30,11,15,False,False,4.800000000000001,0,1,7,0
0.801,00 30 00 07 C8 00 30,12,6,False,False,4.800000000000001,0,0,8,0
0.81,00 30 00 87 59 00 30,5,13,False,False,4.800000000000001,0,1,9,0
0.82,00 30 00 87 6A 00 30,6,12,False,False,4.800000000000001,0,1,10,0
0.83,00 30 00 07 FB 00 30,15,3,False,False,4.800000000000001,0,0,11,0
0.84,00 30 00 87 0C 00 30,0,10,False,False,4.800000000000001,0,1,12,0
0.85,00 30 00 07 9D 00 30,9,1,False,False,4.800000000000001,0,0,13,0
0.86,00 30 01 07 BE 01 30,11,14,False,False,4.800000000000001,1,0,14,1
0.87,00 30 01 87 2F 01 30,2,5,False,False,4.800000000000001,1,1,15,1
0.88,00 30 02 87 E0 02 30,14,2,False,False,4.800000000000001,2,1,0,2
0.89,00 2F 02 87 11 02 30,1,3,False,False,4.7,2,1,1,2
0.9,00 2E 03 87 22 03 30,2,1,False,False,4.6000000000000005,3,1,2,3
0.91,00 2C 03 87 13 03 30,1,2,False,False,4.4,3,1,3,3
0.92,00 2B 05 87 74 05 30,7,14,False,False,4.3,5,1,4,5
0.93,00 29 06 87 75 06 30,7,13,False,False,4.1000000000000005,6,1,5,6
0.94,00 26 07 87 A6 07 30,10,13,False,False,3.8000000000000003,7,1,6,7
0.95,00 24 07 87 97 07 30,9,14,False,False,3.6,7,1,7,7
0.961,00 21 07 87 38 07 30,3,0,False,False,3.3000000000000003,7,1,8,7
0.97,00 1E 07 87 E9 07 30,14,3,False,False,3.0,7,1,9,7
0.98,00 1A 08 87 6A 08 30,6,4,False,False,2.6,8,1,10,8
0.99,00 17 08 87 AB 08 30,10,6,False,False,2.3000000000000003,8,1,11,8
1.0,00 14 09 87 FC 09 30,15,6,False,False,2.0,9,1,12,9
1.01,00 10 0A 87 9D 0A 30,9,7,False,False,1.6,10,1,13,10
1.055,00 0C 0A 87 7E 0A 30,7,11,False,False,1.2000000000000002,10,1,14,10
1.055,00 08 0A 87 2F 0A 30,2,14,False,False,0.8,10,1,15,10
1.055,00 04 09 87 20 09 30,2,3,False,False,0.4,9,1,0,9
1.055,00 01 09 87 61 09 30,6,5,False,False,0.1,9,1,1,9
1.066,FF FD 09 87 62 09 30,6,11,False,False,-0.30000000000000004,9,1,2,9
1.076,FF F9 09 87 33 09 30,3,14,False,False,-0.7000000000000001,9,1,3,9
1.085,FF F6 0A 87 84 0A 30,8,14,False,False,-1.0,10,1,4,10
1.096,FF F2 09 87 E5 09 30,14,3,False,False,-1.4000000000000001,9,1,5,9
1.106,FF EE 09 87 06 09 30,0,7,False,False,-1.8,9,1,6,9
1.126,FF E7 0A 87 48 0A 30,4,10,False,False,-2.5,10,1,8,10
1.136,FF E3 0A 87 19 0A 30,1,13,False,False,-2.9000000000000004,10,1,9,10
1.145,FF DF 09 87 EA 09 30,14,3,False,False,-3.3000000000000003,9,1,10,9
1.156,FF DB 0A 87 8B 0A 30,8,4,False,False,-3.7,10,1,11,10
1.166,FF D7 0B 87 2C 0B 30,2,5,False,False,-4.1000000000000005,11,1,12,11
1.176,FF D3 0C 87 0D 0C 30,0,6,False,False,-4.5,12,1,13,12
1.185,FF CE 0B 87 8E 0B 30,8,13,False,False,-5.0,11,1,14,11
1.196,FF C9 0D 87 8F 0D 30,8,13,False,False,-5.5,13,1,15,13
1.206,FF C4 0E 87 90 0E 30,9,15,False,False,-6.0,14,1,0,14
1.226,FF B9 0F 87 02 0F 30,0,7,False,False,-7.1000000000000005,15,1,2,15
1.236,FF B3 0F 87 B3 0F 30,11,12,False,False,-7.7,15,1,3,15
1.245,FF AD 10 87 D4 10 30,13,14,False,False,-8.3,16,1,4,16
1.256,FF A6 10 87 75 10 30,7,4,False,False,-9.0,16,1,5,16
1.266,FF A0 11 87 36 11 30,3,7,False,False,-9.600000000000001,17,1,6,17
1.276,FF 99 11 87 87 11 30,8,14,False,False,-10.3,17,1,7,17
1.286,FF 92 11 87 C8 11 30,12,4,False,False,-11.0,17,1,8,17
1.295,FF 8B 12 87 69 12 30,6,9,False,False,-11.700000000000001,18,1,9,18
1.306,FF 83 14 87 BA 14 30,11,12,False,False,-12.5,20,1,10,20
1.316,FF 7B 15 87 CB 15 30,12,2,False,False,-13.3,21,1,11,21
1.325,FF 73 15 87 3C 15 30,3,9,False,False,-14.100000000000001,21,1,12,21
1.336,FF 6A 16 87 9D 16 30,9,0,False,False,-15.0,22,1,13,22
1.346,FF 62 17 87 3E 17 30,3,5,False,False,-15.8,23,1,14,23
1.356,FF 58 19 87 5F 19 30,5,11,False,False,-16.8,25,1,15,25
1.366,FF 4E 1A 87 E0 1A 30,14,3,False,False,-17.8,26,1,0,26
1.375,FF 43 1B 87 31 1B 30,3,11,False,False,-18.900000000000002,27,1,1,27
1.386,FF 38 1D 87 A2 1D 30,10,2,False,False,-20.0,29,1,2,29
1.396,FF 2D 1D 87 F3 1D 30,15,13,False,False,-21.1,29,1,3,29
1.406,FF 21 1F 87 64 1F 30,6,4,False,False,-22.3,31,1,4,31
1.416,FF 14 21 87 C5 21 30,12,11,False,False,-23.6,33,1,5,33
1.426,FF 07 20 87 C6 20 30,12,10,False,False,-24.900000000000002,32,1,6,32
1.436,FE FA 20 87 E7 20 30,14,8,False,False,-26.200000000000003,32,1,7,32
1.446,FE ED 22 87 58 22 30,5,1,False,False,-27.5,34,1,8,34
1.456,FE DF 22 87 59 22 30,5,15,False,False,-28.900000000000002,34,1,9,34
1.476,FE C4 20 87 FB 20 30,15,13,False,False,-31.6,32,1,11,32
1.486,FE B8 21 87 2C 21 30,2,7,False,False,-32.800000000000004,33,1,12,33
1.496,FE AB 1F 87 CD 1F 30,12,10,False,False,-34.1,31,1,13,31
1.505,FE 9F 1E 87 9E 1E 30,9,8,False,False,-35.300000000000004,30,1,14,30
1.516,FE 93 1D 87 7F 1D 30,7,5,False,False,-36.5,29,1,15,29
1.526,FE 87 1D 87 D0 1D 30,13,1,False,False,-37.7,29,1,0,29
1.536,FE 7C 1B 87 E1 1B 30,14,0,False,False,-38.800000000000004,27,1,1,27
1.546,FE 72 19 87 12 19 30,1,13,False,False,-39.800000000000004,25,1,2,25
1.556,FE 68 17 87 53 17 30,5,11,False,False,-40.800000000000004,23,1,3,23
1.565,FE 60 15 87 84 15 30,8,6,False,False,-41.6,21,1,4,21
1.576,FE 57 15 87 D5 15 30,13,15,False,False,-42.5,21,1,5,21
1.586,FE 50 12 87 E6 12 30,14,11,False,False,-43.2,18,1,6,18
1.606,FE 42 0E 87 E8 0E 30,14,2,False,False,-44.6,14,1,8,14
1.616,FE 3D 0D 87 49 0D 30,4,9,False,False,-45.1,13,1,9,13
1.626,FE 39 0A 87 4A 0A 30,4,2,False,False,-45.5,10,1,10,10
1.636,FE 34 0B 87 9B 0B 30,9,4,False,False,-46.0,11,1,11,11
1.645,FE 30 08 87 9C 08 30,9,13,False,False,-46.400000000000006,8,1,12,8
1.656,FE 2D 08 87 4D 08 30,4,0,False,False,-46.7,8,1,13,8
1.666,FE 2A 06 87 EE 06 30,14,6,False,False,-47.0,6,1,14,6
1.676,FE 28 05 87 EF 05 30,14,9,False,False,-47.2,5,1,15,5
1.685,FE 26 05 87 F0 05 30,15,10,False,False,-47.400000000000006,5,1,0,5
1.706,FE 23 03 87 E2 03 30,14,15,False,False,-47.7,3,1,2,3
1.716,FE 22 03 87 E3 03 30,14,15,False,False,-47.800000000000004,3,1,3,3
1.726,FE 20 03 87 B4 03 30,11,0,False,False,-48.0,3,1,4,3
1.736,FE 1F 04 87 15 04 30,1,15,False,False,-48.1,4,1,5,4
1.745,FE 1E 04 87 36 04 30,3,15,False,False,-48.2,4,1,6,4
1.766,FE 1B 03 87 F8 03 30,15,2,False,False,-48.5,3,1,8,3
1.776,FE 1A 02 87 E9 02 30,14,4,False,False,-48.6,2,1,9,2
1.785,FE 19 03 87 FA 03 30,15,2,False,False,-48.7,3,1,10,3
1.796,FE 18 03 87 FB 03 30,15,2,False,False,-48.800000000000004,3,1,11,3
1.806,FE 17 01 87 5C 01 30,5,6,False,False,-48.900000000000006,1,1,12,1
1.816,FE 17 00 07 DD 00 30,13,15,False,False,-48.900000000000006,0,0,13,0
1.836,FE 17 00 07 FF 00 30,15,13,False,False,-48.900000000000006,0,0,15,0
1.846,FE 17 00 07 00 00 30,0,12,False,False,-48.900000000000006,0,0,0,0
1.856,FE 17 00 87 91 00 30,9,3,False,False,-48.900000000000006,0,1,1,0
1.866,FE 17 00 87 A2 00 30,10,2,False,False,-48.900000000000006,0,1,2,0
1.876,FE 17 00 07 33 00 30,3,9,False,False,-48.900000000000006,0,0,3,0
1.886,FE 17 01 07 54 01 30,5,6,False,False,-48.900000000000006,1,0,4,1
1.895,FE 18 02 07 85 02 30,8,2,False,False,-48.800000000000004,2,0,5,2
1.906,FE 19 02 07 A6 02 30,10,0,False,False,-48.7,2,0,6,2
1.916,FE 1A 03 07 97 03 30,9,12,False,False,-48.6,3,0,7,3
1.926,FE 1B 04 07 08 04 30,0,8,False,False,-48.5,4,0,8,4
1.936,FE 1D 05 07 69 05 30,6,3,False,False,-48.300000000000004,5,0,9,5
1.946,FE 1F 06 07 4A 06 30,4,14,False,False,-48.1,6,0,10,6
1.966,FE 25 07 07 AC 07 30,10,3,False,False,-47.5,7,0,12,7
1.976,FE 28 08 07 9D 08 30,9,13,False,False,-47.2,8,0,13,8
1.986,FE 2C 08 07 EE 08 30,14,8,False,False,-46.800000000000004,8,0,14,8
1.996,FE 2F 07 07 3F 07 30,3,6,False,False,-46.5,7,0,15,7
2.007,FE 32 07 07 00 07 30,0,1,False,False,-46.2,7,0,0,7
2.016,FE 34 06 07 61 06 30,6,0,False,False,-46.0,6,0,1,6
2.026,FE 36 04 07 52 04 30,5,1,False,False,-45.800000000000004,4,0,2,4
2.035,FE 38 03 07 D3 03 30,13,0,False,False,-45.6,3,0,3,3
2.046,FE 38 01 07 84 01 30,8,3,False,False,-45.6,1,0,4,1
2.056,FE 39 00 07 95 00 30,9,3,False,False,-45.5,0,0,5,0
2.066,FE 39 00 87 26 00 30,2,10,False,False,-45.5,0,1,6,0
2.076,FE 39 00 87 37 00 30,3,9,False,False,-45.5,0,1,7,0
2.086,FE 39 00 07 48 00 30,4,0,False,False,-45.5,0,0,8,0
2.096,FE 39 00 07 59 00 30,5,15,False,False,-45.5,0,0,9,0
2.105,FE 39 00 87 EA 00 30,14,6,False,False,-45.5,0,1,10,0
2.116,FE 39 00 87 FB 00 30,15,5,False,False,-45.5,0,1,11,0
2.126,FE 38 01 87 8C 01 30,8,3,False,False,-45.6,1,1,12,1
2.136,FE 38 00 87 8D 00 30,8,4,False,False,-45.6,0,1,13,0
2.146,FE 38 00 07 3E 00 30,3,11,False,False,-45.6,0,0,14,0
2.156,FE 38 00 87 AF 00 30,10,2,False,False,-45.6,0,1,15,0
2.166,FE 38 00 87 50 00 30,5,1,False,False,-45.6,0,1,0,0
2.176,FE 38 00 07 C1 00 30,12,8,False,False,-45.6,0,0,1,0
2.186,FE 38 00 87 72 00 30,7,15,False,False,-45.6,0,1,2,0
2.196,FE 38 00 87 63 00 30,6,14,False,False,-45.6,0,1,3,0
2.206,FE 37 02 87 C4 02 30,12,10,False,False,-45.7,2,1,4,2
2.216,FE 37 02 87 D5 02 30,13,9,False,False,-45.7,2,1,5,2
2.226,FE 36 03 87 E6 03 30,14,7,False,False,-45.800000000000004,3,1,6,3
2.236,FE 34 04 87 A7 04 30,10,6,False,False,-46.0,4,1,7,4
2.247,FE 32 06 87 18 06 30,1,3,False,False,-46.2,6,1,8,6
2.276,FE 27 0C 87 CB 0C 30,12,0,False,False,-47.300000000000004,12,1,11,12
2.286,FE 22 0F 87 DC 0F 30,13,14,False,False,-47.800000000000004,15,1,12,15
2.296,FE 1B 12 87 AD 12 30,10,13,False,False,-48.5,18,1,13,18
2.306,FE 13 15 87 6E 15 30,6,14,False,False,-49.300000000000004,21,1,14,21
2.316,FE 09 1A 87 3F 1A 30,3,14,False,False,-50.300000000000004,26,1,15,26
2.326,FD FE 1D 87 00 1D 30,0,4,False,False,-51.400000000000006,29,1,0,29
2.336,FD F1 23 87 31 23 30,3,2,False,False,-52.7,35,1,1,35
2.346,FD E3 26 87 62 26 30,6,10,False,False,-54.1,38,1,2,38
2.356,FD D2 29 87 A3 29 30,10,5,False,False,-55.800000000000004,41,1,3,41
2.366,FD C1 2F 87 94 2F 30,9,10,False,False,-57.5,47,1,4,47
2.376,FD AD 32 87 E5 32 30,14,7,False,False,-59.5,50,1,5,50
2.386,FD 98 35 87 C6 35 30,12,6,False,False,-61.6,53,1,6,53
2.395,FD 82 37 87 47 37 30,4,8,False,False,-63.800000000000004,55,1,7,55
2.406,FD 6C 3A 87 68 3A 30,6,9,False,False,-66.0,58,1,8,58
2.416,FD 54 3E 87 89 3E 30,8,9,False,False,-68.4,62,1,9,62
2.426,FD 3C 3D 87 6A 3D 30,6,4,False,False,-70.8,61,1,10,61
2.436,FD 22 40 87 2B 40 30,2,6,False,False,-73.4,64,1,11,64
2.446,FD 08 40 87 DC 40 30,13,1,False,False,-76.0,64,1,12,64
2.455,FC EE 41 87 4D 41 30,4,11,False,False,-78.60000000000001,65,1,13,65
2.466,FC D5 43 87 DE 43 30,13,0,False,False,-81.10000000000001,67,1,14,67
2.476,FC B9 44 87 1F 44 30,1,11,False,False,-83.9,68,1,15,68
2.485,FC 9F 43 87 D0 43 30,13,8,False,False,-86.5,67,1,0,67
2.496,FC 83 44 87 61 44 30,6,2,False,False,-89.30000000000001,68,1,1,68
2.506,FC 68 44 87 02 44 30,0,14,False,False,-92.0,68,1,2,68
2.516,FC 4E 44 87 53 44 30,5,9,False,False,-94.60000000000001,68,1,3,68
2.525,FC 33 44 87 84 44 30,8,4,False,False,-97.30000000000001,68,1,4,68
2.536,FC 18 43 87 75 43 30,7,2,False,False,-100.0,67,1,5,67
2.546,FB FE 41 87 96 41 30,9,2,False,False,-102.60000000000001,65,1,6,65
2.556,FB E3 42 87 77 42 30,7,11,False,False,-105.30000000000001,66,1,7,66
2.566,FB C9 41 87 38 41 30,3,8,False,False,-107.9,65,1,8,65
2.576,FB AF 41 87 29 41 30,2,3,False,False,-110.5,65,1,9,65
2.586,FB 95 40 87 9A 40 30,9,15,False,False,-113.10000000000001,64,1,10,64
2.596,FB 7B 3F 87 0B 3F 30,0,14,False,False,-115.7,63,1,11,63
2.606,FB 62 41 87 6C 41 30,6,1,False,False,-118.2,65,1,12,65
2.616,FB 48 3E 87 7D 3E 30,7,4,False,False,-120.80000000000001,62,1,13,62
2.626,FB 30 3D 87 8E 3D 30,8,14,False,False,-123.2,61,1,14,61
2.636,FB 16 40 87 7F 40 30,7,1,False,False,-125.80000000000001,64,1,15,64
2.646,FA FD 3F 87 40 3F 30,4,0,False,False,-128.3,63,1,0,63
2.656,FA E4 3E 87 C1 3E 30,12,11,False,False,-130.8,62,1,1,62
2.666,FA CB 40 87 B2 40 30,11,15,False,False,-133.3,64,1,2,64
2.676,FA B1 40 87 73 40 30,7,9,False,False,-135.9,64,1,3,64
2.685,FA 98 3F 87 34 3F 30,3,7,False,False,-138.4,63,1,4,63
2.696,FA 7E 41 87 35 41 30,3,12,False,False,-141.0,65,1,5,65
2.706,FA 64 41 87 B6 41 30,11,6,False,False,-143.6,65,1,6,65
2.715,FA 4A 40 87 77 40 30,7,3,False,False,-146.20000000000002,64,1,7,64
2.726,FA 31 40 87 48 40 30,4,12,False,False,-148.70000000000002,64,1,8,64
2.736,FA 17 3F 87 99 3F 30,9,11,False,False,-151.3,63,1,9,63
2.746,F9 FE 41 87 7A 41 30,7,0,False,False,-153.8,65,1,10,65
2.766,F9 C9 42 87 6C 42 30,6,4,False,False,-159.10000000000002,66,1,12,66
2.775,F9 AF 41 87 4D 41 30,4,1,False,False,-161.70000000000002,65,1,13,65
2.786,F9 95 41 87 EE 41 30,14,11,False,False,-164.3,65,1,14,65
2.796,F9 7A 42 87 DF 42 30,13,5,False,False,-167.0,66,1,15,66
2.806,F9 61 42 87 80 42 30,8,14,False,False,-169.5,66,1,0,66
2.816,F9 45 45 87 81 45 30,8,5,False,False,-172.3,69,1,1,69
2.826,F9 2A 43 87 42 43 30,4,5,False,False,-175.0,67,1,2,67
2.836,F9 0F 43 87 23 43 30,2,1,False,False,-177.70000000000002,67,1,3,67
2.845,F8 F4 44 87 74 44 30,7,11,False,False,-180.4,68,1,4,68
2.856,F8 D9 44 87 95 44 30,9,7,False,False,-183.10000000000002,68,1,5,68
2.866,F8 BD 46 87 A6 46 30,10,0,False,False,-185.9,70,1,6,70
2.876,F8 A1 46 87 67 46 30,6,12,False,False,-188.70000000000002,70,1,7,70
2.891,F8 85 46 87 F8 46 30,15,9,False,False,-191.5,70,1,8,70
2.891,F8 69 45 87 F9 45 30,15,8,False,False,-194.3,69,1,9,69
2.9,F8 4E 45 87 9A 45 30,9,4,False,False,-197.0,69,1,10,69
2.91,F8 33 46 87 1B 46 30,1,13,False,False,-199.70000000000002,70,1,11,70
2.921,F8 18 43 87 AC 43 30,10,15,False,False,-202.4,67,1,12,67
2.93,F7 FD 43 87 FD 43 30,15,12,False,False,-205.10000000000002,67,1,13,67
2.941,F7 E3 40 87 0E 40 30,0,12,False,False,-207.70000000000002,64,1,14,64
2.96,F7 B0 3F 87 00 3F 30,0,4,False,False,-212.8,63,1,0,63
2.97,F7 97 3D 87 61 3D 30,6,2,False,False,-215.3,61,1,1,61
2.98,F7 7E 3D 87 22 3D 30,2,12,False,False,-217.8,61,1,2,61
2.99,F7 66 3D 87 A3 3D 30,10,4,False,False,-220.20000000000002,61,1,3,61
3.031,F7 0B 36 87 E7 36 30,14,15,False,False,-229.3,54,1,7,54
3.04,F6 F5 36 87 18 36 30,1,6,False,False,-231.5,54,1,8,54
3.051,F6 E0 34 87 69 34 30,6,15,False,False,-233.60000000000002,52,1,9,52
3.06,F6 CC 31 87 EA 31 30,14,10,False,False,-235.60000000000002,49,1,10,49
3.07,F6 B9 2E 87 3B 2E 30,3,5,False,False,-237.5,46,1,11,46
3.08,F6 A6 2D 87 9C 2D 30,9,10,False,False,-239.4,45,1,12,45
3.09,F6 94 2C 87 8D 2C 30,8,14,False,False,-241.20000000000002,44,1,13,44
3.1,F6 82 2F 87 FE 2F 30,15,10,False,False,-243.0,47,1,14,47
3.11,F6 6E 35 87 7F 35 30,7,1,False,False,-245.0,53,1,15,53
3.13,F6 3F 3B 87 31 3B 30,3,5,False,False,-249.70000000000002,59,1,1,59
3.14,F6 28 3B 87 62 3B 30,6,12,False,False,-252.0,59,1,2,59
3.15,F6 11 38 87 E3 38 30,14,9,False,False,-254.3,56,1,3,56
3.16,F5 FA 37 87 04 37 30,0,4,False,False,-256.6,55,1,4,55
3.17,F5 E4 37 87 E5 37 30,14,10,False,False,-258.8,55,1,5,55
3.18,F5 CE 37 87 56 37 30,5,1,False,False,-261.0,55,1,6,55
3.19,F5 B8 39 87 B7 39 30,11,3,False,False,-263.2,57,1,7,57
3.201,F5 A1 38 87 D8 38 30,13,12,False,False,-265.5,56,1,8,56
3.21,F5 8A 3A 87 79 3A 30,7,0,False,False,-267.8,58,1,9,58
3.22,F5 73 3A 87 2A 3A 30,2,7,False,False,-270.1,58,1,10,58
3.23,F5 5C 3A 87 EB 3A 30,14,15,False,False,-272.40000000000003,58,1,11,58
3.24,F5 44 3D 87 7C 3D 30,7,1,False,False,-274.8,61,1,12,61
3.251,F5 2B 40 87 5D 40 30,5,3,False,False,-277.3,64,1,13,64
3.26,F5 12 3D 87 6E 3D 30,6,4,False,False,-279.8,61,1,14,61
3.27,F4 FA 3C 87 1F 3C 30,1,0,False,False,-282.2,60,1,15,60
3.281,F4 E2 3C 87 70 3C 30,7,8,False,False,-284.6,60,1,0,60
3.29,F4 C9 3E 87 D1 3E 30,13,14,False,False,-287.1,62,1,1,62
3.3,F4 B0 42 87 B2 42 30,11,13,False,False,-289.6,66,1,2,66
3.31,F4 95 46 87 93 46 30,9,1,False,False,-292.3,70,1,3,70
3.321,F4 79 48 87 24 48 30,2,10,False,False,-295.1,72,1,4,72
3.33,F4 5C 49 87 55 49 30,5,6,False,False,-298.0,73,1,5,73
3.341,F4 3F 46 87 C6 46 30,12,10,False,False,-300.90000000000003,70,1,6,70
3.35,F4 23 47 87 17 47 30,1,4,False,False,-303.7,71,1,7,71
3.36,F4 08 44 87 48 44 30,4,6,False,False,-306.40000000000003,68,1,8,68
3.37,F3 EC 44 87 89 44 30,8,4,False,False,-309.20000000000005,68,1,9,68
3.381,F3 D1 45 87 4A 45 30,4,13,False,False,-311.90000000000003,69,1,10,69
3.39,F3 B6 43 87 2B 43 30,2,13,False,False,-314.6,67,1,11,67
3.41,F3 82 40 87 0D 40 30,0,8,False,False,-319.8,64,1,13,64
3.421,F3 68 41 87 6E 41 30,6,1,False,False,-322.40000000000003,65,1,14,65
3.43,F3 4E 40 87 2F 40 30,2,14,False,False,-325.0,64,1,15,64
3.44,F3 36 3D 87 80 3D 30,8,14,False,False,-327.40000000000003,61,1,0,61
3.451,F3 1C 3D 87 11 3D 30,1,9,False,False,-330.0,61,1,1,61
3.46,F3 05 3A 87 D2 3A 30,13,6,False,False,-332.3,58,1,2,58
3.47,F2 EE 3B 87 93 3B 30,9,13,False,False,-334.6,59,1,3,59
3.49,F2 BE 3A 87 B5 3A 30,11,0,False,False,-339.40000000000003,58,1,5,58
3.5,F2 A8 3A 87 F6 3A 30,15,6,False,False,-341.6,58,1,6,58
3.511,F2 90 3B 87 47 3B 30,4,12,False,False,-344.0,59,1,7,59
3.52,F2 78 3B 87 D8 3B 30,13,5,False,False,-346.40000000000003,59,1,8,59
3.53,F2 61 39 87 69 39 30,6,0,False,False,-348.70000000000005,57,1,9,57
3.54,F2 4A 3A 87 FA 3A 30,15,6,False,False,-351.0,58,1,10,58
3.55,F2 33 3B 87 1B 3B 30,1,11,False,False,-353.3,59,1,11,59
